69402,"(0, 1)",We 'll have to get a  a better box .,"[We/PRP, 'll/MD, have/VB, to/TO, get/VB, a/DT, a/DT, better/JJR, box/NN, ./.]",(ROOT (S (NP (PRP We)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB get) (NP (DT a) (ADJP (DT a) (JJR better)) (NN box))))))) (. .)))
69402,"(2, 3)",There 's some bottles  jars for the bottle bank as well .,"[There/EX, 's/VBZ, some/DT, bottles/NNS, jars/NNS, for/IN, the/DT, bottle/NN, bank/NN, as/RB, well/RB, ./.]",(ROOT (S (NP (EX There)) (VP (VBZ 's) (NP (NP (DT some) (NNS bottles) (NNS jars)) (PP (IN for) (NP (DT the) (NN bottle) (NN bank)))) (ADVP (RB as) (RB well))) (. .)))
69402,"(4,)",You know the last time you missed the erm,"[You/PRP, know/VBP, the/DT, last/JJ, time/NN, you/PRP, missed/VBD, the/DT, erm/NN]",(ROOT (S (NP (PRP You)) (VP (VBP know) (NP (NP (DT the) (JJ last) (NN time)) (SBAR (S (NP (PRP you)) (VP (VBD missed) (NP (DT the) (NN erm)))))))))
69402,"(5,)",Aye .,"[Aye/NNP, ./.]",(ROOT (FRAG (NP (NNP Aye)) (. .)))
69402,"(6, 7, 8, 9)",the last time you missed the  television pages  television supplement and a comic thing  out of the Mirror .,"[the/DT, last/JJ, time/NN, you/PRP, missed/VBD, the/DT, television/NN, pages/NNS, television/NN, supplement/NN, and/CC, a/DT, comic/JJ, thing/NN, out/IN, of/IN, the/DT, Mirror/NN, ./.]",(ROOT (S (NP (DT the) (JJ last) (NN time)) (NP (PRP you)) (VP (VBD missed) (NP (NP (DT the) (NN television) (NNS pages) (NN television) (NN supplement)) (CC and) (NP (DT a) (JJ comic) (NN thing))) (PP (IN out) (PP (IN of) (NP (DT the) (NN Mirror))))) (. .)))
69402,"(10,)",I don 't think he believed me .,"[I/PRP, don/VBP, 't/PRP, think/VB, he/PRP, believed/VBD, me/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB think) (SBAR (S (NP (PRP he)) (VP (VBD believed) (NP (PRP me)))))))) (. .)))
69402,"(11, 12)",And it 's in  it 'll be twice in a month .,"[And/CC, it/PRP, 's/VBZ, in/IN, it/PRP, 'll/MD, be/VB, twice/RB, in/IN, a/DT, month/NN, ./.]",(ROOT (S (CC And) (NP (PRP it)) (VP (VBZ 's) (SBAR (IN in) (S (NP (PRP it)) (VP (MD 'll) (VP (VB be) (ADVP (RB twice)) (PP (IN in) (NP (DT a) (NN month)))))))) (. .)))
69402,"(13, 14)",And  Chris is back again as our paper boy .,"[And/CC, Chris/NNP, is/VBZ, back/RB, again/RB, as/IN, our/PRP$, paper/NN, boy/NN, ./.]",(ROOT (S (CC And) (NP (NNP Chris)) (VP (VBZ is) (ADVP (RB back) (RB again)) (PP (IN as) (NP (PRP$ our) (NN paper) (NN boy)))) (. .)))
69402,"(15,)",Tt .,"[Tt/NN, ./.]",(ROOT (NP (NN Tt) (. .)))
69402,"(16,)",What happened to the new one ?,"[What/WP, happened/VBD, to/TO, the/DT, new/JJ, one/CD, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VP (VBD happened) (PP (TO to) (NP (DT the) (JJ new) (CD one))))) (. ?)))
69402,"(17,)",The other was so useless !,"[The/DT, other/JJ, was/VBD, so/RB, useless/JJ, !/.]",(ROOT (S (NP (DT The) (JJ other)) (VP (VBD was) (ADJP (RB so) (JJ useless))) (. !)))
69402,"(18, 19, 20)","But according to the  er , that new manager in the paper shop  everyone else got theirs .","[But/CC, according/VBG, to/TO, the/DT, er/NN, ,/,, that/IN, new/JJ, manager/NN, in/IN, the/DT, paper/NN, shop/NN, everyone/NN, else/RB, got/VBD, theirs/PRP, ./.]","(ROOT (S (CC But) (PP (VBG according) (PP (TO to) (NP (NP (DT the) (NN er)) (, ,) (SBAR (IN that) (S (NP (NP (JJ new) (NN manager)) (PP (IN in) (NP (DT the) (NN paper) (NN shop) (NN everyone)))) (ADJP (RB else))))))) (VP (VBD got) (NP (PRP theirs))) (. .)))"
69402,"(21,)","So I said , well I 'm sorry but I 'm not included in everyone else .","[So/IN, I/PRP, said/VBD, ,/,, well/RB, I/PRP, 'm/VBP, sorry/JJ, but/CC, I/PRP, 'm/VBP, not/RB, included/VBN, in/IN, everyone/NN, else/RB, ./.]","(ROOT (S (S (S (IN So) (NP (PRP I)) (VP (VBD said))) (, ,) (ADVP (RB well)) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sorry))))) (CC but) (S (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBN included) (PP (IN in) (NP (NN everyone) (RB else)))))) (. .)))"
