6205,"(0, 1)",I went up to the  get the paper this morning .,"[I/PRP, went/VBD, up/RB, to/TO, the/DT, get/VB, the/DT, paper/NN, this/DT, morning/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD went) (ADVP (RB up) (PP (TO to) (NP (DT the)))) (VP (VB get) (NP (DT the) (NN paper)) (NP (DT this) (NN morning)))) (. .)))
6205,"(2, 3)",The er bloke in there said did I know who owned the  I noticed there was this little long haired sort of black and white or grey dog that was er tethered to a oh a lamp post or something outside .,"[The/DT, er/NN, bloke/NN, in/IN, there/EX, said/VBD, did/VBD, I/PRP, know/VBP, who/WP, owned/VBD, the/DT, I/NN, noticed/VBD, there/EX, was/VBD, this/DT, little/JJ, long/JJ, haired/NN, sort/NN, of/IN, black/JJ, and/CC, white/JJ, or/CC, grey/JJ, dog/NN, that/WDT, was/VBD, er/NN, tethered/JJ, to/TO, a/DT, oh/NN, a/DT, lamp/NN, post/NN, or/CC, something/NN, outside/JJ, ./.]",(ROOT (S (NP (NP (DT The) (NN er) (NN bloke)) (SBAR (IN in) (S (NP (EX there)) (VP (VBD said))))) (VP (VBD did) (SBAR (S (NP (PRP I)) (VP (VBP know) (SBAR (WHNP (WP who)) (S (VP (VBD owned) (SBAR (S (NP (DT the) (NN I)) (VP (VBD noticed) (SBAR (S (NP (EX there)) (VP (VBD was) (NP (NP (DT this) (JJ little) (JJ long) (NN haired) (NN sort)) (PP (IN of) (NP (ADJP (JJ black) (CC and) (JJ white) (CC or) (JJ grey)) (NN dog))) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (NP (NP (NN er)) (ADJP (JJ tethered) (PP (TO to) (NP (NP (DT a) (NN oh)) (NP (DT a) (NN lamp) (NN post) (CC or) (NN something)))))) (ADVP (JJ outside))))))))))))))))))) (. .)))
6205,"(4,)",Outside where ?,"[Outside/IN, where/WRB, ?/.]",(ROOT (S (VP (PP (IN Outside) (FRAG (WHADVP (WRB where))))) (. ?)))
6205,"(5,)",Outside the er newsagents .,"[Outside/IN, the/DT, er/NN, newsagents/NNS, ./.]",(ROOT (FRAG (PP (IN Outside) (NP (DT the) (NN er) (NNS newsagents))) (. .)))
6205,"(6, 7)","And apparently erm  the bloke had gone up to get his paper , tethered the dog outside and then walked off and forgotten the poor little thing .","[And/CC, apparently/RB, erm/VBP, the/DT, bloke/NN, had/VBD, gone/VBN, up/RB, to/TO, get/VB, his/PRP$, paper/NN, ,/,, tethered/JJ, the/DT, dog/NN, outside/JJ, and/CC, then/RB, walked/VBD, off/RP, and/CC, forgotten/VBN, the/DT, poor/JJ, little/JJ, thing/NN, ./.]","(ROOT (S (CC And) (ADVP (RB apparently)) (VP (VBP erm) (SBAR (S (NP (DT the) (NN bloke)) (VP (VBD had) (VP (VBN gone) (ADVP (RB up)) (S (VP (TO to) (VP (VB get) (NP (PRP$ his) (NN paper)))))))))) (, ,) (S (ADJP (JJ tethered) (SBAR (S (NP (DT the) (NN dog)) (VP (VP (ADVP (ADVP (JJ outside)) (CC and) (ADVP (RB then))) (VBD walked) (PRT (RP off))) (CC and) (VP (VBN forgotten) (NP (DT the) (JJ poor) (JJ little) (NN thing)))))))) (. .)))"
6205,"(8,)",Oh dear .,"[Oh/UH, dear/RB, ./.]",(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (RB dear)))) (. .)))
6205,"(9,)",What happened ?,"[What/WP, happened/VBD, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VP (VBD happened))) (. ?)))
6205,"(10,)",So he said,"[So/IN, he/PRP, said/VBD]",(ROOT (FRAG (X (ADVP (IN So)) (NP (PRP he))) (VP (VBD said))))
6205,"(11,)",Did he come back for it ?,"[Did/VBD, he/PRP, come/VB, back/RB, for/IN, it/PRP, ?/.]",(ROOT (SQ (VBD Did) (NP (PRP he)) (VP (VB come) (ADVP (RB back)) (PP (IN for) (NP (PRP it)))) (. ?)))
6205,"(12,)",Well I presume so because it wasn 't there when I came out .,"[Well/RB, I/PRP, presume/VBP, so/RB, because/IN, it/PRP, wasn/VBD, 't/PRP, there/EX, when/WRB, I/PRP, came/VBD, out/RP, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP I)) (VP (VBP presume) (SBAR (RB so) (IN because) (S (NP (PRP it)) (VP (VBD wasn) (S (NP (PRP 't)) (NP (EX there)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD came) (PRT (RP out)))))))))) (. .)))
6205,"(13,)",But he said he thought it was an Irish fellow you know and I said well where does he live ?,"[But/CC, he/PRP, said/VBD, he/PRP, thought/VBD, it/PRP, was/VBD, an/DT, Irish/JJ, fellow/NN, you/PRP, know/VBP, and/CC, I/PRP, said/VBD, well/RB, where/WRB, does/VBZ, he/PRP, live/VB, ?/.]",(ROOT (S (CC But) (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (PRP he)) (VP (VBD thought) (SBAR (S (NP (PRP it)) (VP (VBD was) (NP (NP (DT an) (JJ Irish) (NN fellow)) (SBAR (S (S (NP (PRP you)) (VP (VBP know))) (CC and) (S (NP (PRP I)) (VP (VBD said) (SBAR (SBARQ (WHADVP (RB well) (WRB where)) (SQ (VBZ does) (NP (PRP he)) (VP (VB live))) (. ?)))))))))))))))))
6205,"(14,)",He said well I don 't really know but I know he lives local somewhere .,"[He/PRP, said/VBD, well/RB, I/PRP, don/VBP, 't/PRP, really/RB, know/VBP, but/CC, I/PRP, know/VBP, he/PRP, lives/VBZ, local/JJ, somewhere/RB, ./.]",(ROOT (S (NP (PRP He)) (VP (VBD said) (SBAR (S (S (ADVP (RB well)) (NP (PRP I)) (VP (VBP don) (SBAR (S (NP (PRP 't)) (ADVP (RB really)) (VP (VBP know)))))) (CC but) (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP he)) (VP (VBZ lives) (ADJP (JJ local)) (ADVP (RB somewhere)))))))))) (. .)))
