15607,"(0,)",I wouldn 't have thought there was   honestly not .,"[I/PRP, wouldn/VBP, 't/PRP, have/VB, thought/VBN, there/EX, was/VBD, honestly/RB, not/RB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP wouldn) (S (NP (PRP 't)) (VP (VB have) (VP (VBN thought) (SBAR (S (NP (EX there)) (VP (VBD was) (ADVP (RB honestly)) (X (RB not))))))))) (. .)))
15607,"(1,)","I think that is a lot of infection about and I know what brought on my cold , it was going out with Mark to Lathenham , and instead of wearing my anorak I only wore my lambs wool throw over , and I got jolly chilled coming out of the car and going into Lathenham church .","[I/PRP, think/VBP, that/DT, is/VBZ, a/DT, lot/NN, of/IN, infection/NN, about/IN, and/CC, I/PRP, know/VBP, what/WP, brought/VBD, on/RP, my/PRP$, cold/JJ, ,/,, it/PRP, was/VBD, going/VBG, out/RP, with/IN, Mark/NN, to/TO, Lathenham/NNP, ,/,, and/CC, instead/RB, of/IN, wearing/VBG, my/PRP$, anorak/NN, I/PRP, only/RB, wore/VBD, my/PRP$, lambs/NN, wool/NN, throw/VBP, over/RP, ,/,, and/CC, I/PRP, got/VBD, jolly/JJ, chilled/VBN, coming/VBG, out/IN, of/IN, the/DT, car/NN, and/CC, going/VBG, into/IN, Lathenham/NNP, church/NNP, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (VBZ is) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN infection)))) (PP (IN about))))))) (CC and) (S (NP (PRP I)) (VP (VBP know) (SBAR (WHNP (WP what)) (S (VP (VBD brought) (PRT (RP on)) (NP (PRP$ my) (JJ cold))))))) (, ,) (S (NP (PRP it)) (VP (VBD was) (VP (VBG going) (PRT (RP out)) (PP (IN with) (NP (NN Mark))) (PP (TO to) (NP (NNP Lathenham)))))) (, ,) (CC and) (S (S (PP (RB instead) (IN of) (S (VP (VBG wearing) (NP (PRP$ my) (NN anorak))))) (NP (PRP I)) (ADVP (RB only)) (VP (VBD wore) (SBAR (S (NP (PRP$ my) (NN lambs) (NN wool)) (VP (VBP throw) (PRT (RP over))))))) (, ,) (CC and) (S (NP (PRP I)) (VP (VBD got) (NP (NP (JJ jolly)) (VP (VBN chilled) (S (VP (VP (VBG coming) (PRT (IN out)) (PP (IN of) (NP (DT the) (NN car)))) (CC and) (VP (VBG going) (PP (IN into) (NP (NNP Lathenham) (NNP church))))))))))) (. .)))"
15607,"(2,)","You do , you got , Lee the other night , it 's like Lee last Monday , went on the work experience and Monday night it all came down   it 's pouring , oh it 's alright he says , were only going to go to the Woking","[You/PRP, do/VBP, ,/,, you/PRP, got/VBD, ,/,, Lee/NNP, the/DT, other/JJ, night/NN, ,/,, it/PRP, 's/VBZ, like/IN, Lee/NNP, last/JJ, Monday/NNP, ,/,, went/VBD, on/IN, the/DT, work/NN, experience/NN, and/CC, Monday/NNP, night/NN, it/PRP, all/DT, came/VBD, down/IN, it/PRP, 's/VBZ, pouring/VBG, ,/,, oh/UH, it/PRP, 's/VBZ, alright/JJ, he/PRP, says/VBZ, ,/,, were/VBD, only/RB, going/VBG, to/TO, go/VB, to/TO, the/DT, Woking/NNP]","(ROOT (S (S (NP (PRP You)) (VP (VBP do))) (, ,) (S (NP (PRP you)) (VP (VBD got))) (, ,) (S (NP (NP (NNP Lee)) (NP (DT the) (JJ other) (NN night))) (PRN (, ,) (S (NP (PRP it)) (VP (VBZ 's) (PP (IN like) (NP (NNP Lee)) (NP (JJ last) (NNP Monday))))) (, ,)) (VP (VBD went) (PP (IN on) (NP (DT the) (NN work) (NN experience))))) (CC and) (S (NP (NP (NNP Monday) (NN night)) (SBAR (S (NP (PRP it)) (ADVP (DT all)) (VP (VBD came) (PRT (IN down)) (S (S (NP (PRP it)) (VP (VBZ 's) (VP (VBG pouring)))) (, ,) (S (INTJ (UH oh)) (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ alright) (SBAR (S (NP (PRP he)) (VP (VBZ says))))))) (, ,)))))) (VP (VBD were) (ADVP (RB only)) (VP (VBG going) (S (VP (TO to) (VP (VB go) (PP (TO to) (NP (DT the) (NNP Woking)))))))))))"
15607,"(3,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
15607,"(4,)","that 's what I just register , that 's why he want 's the cash point .","[that/DT, 's/VBZ, what/WP, I/PRP, just/RB, register/VBP, ,/,, that/DT, 's/VBZ, why/WRB, he/PRP, want/VBP, 's/POS, the/DT, cash/NN, point/NN, ./.]","(ROOT (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP register) (PRN (, ,) (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP he)) (VP (VBP want) (S (NP (POS 's))))))))) (NP (DT the) (NN cash) (NN point)))))) (. .)))"
15607,"(5,)",Oh yes .,"[Oh/UH, yes/UH, ./.]",(ROOT (FRAG (UH Oh) (INTJ (UH yes)) (. .)))
15607,"(6,)",He went with James to get the cash point,"[He/PRP, went/VBD, with/IN, James/NNP, to/TO, get/VB, the/DT, cash/NN, point/NN]",(ROOT (S (NP (PRP He)) (VP (VBD went) (PP (IN with) (NP (NNP James))) (S (VP (TO to) (VP (VB get) (NP (DT the) (NN cash) (NN point))))))))
15607,"(7,)","Mm , mm .","[Mm/NN, ,/,, mm/NN, ./.]","(ROOT (NP (NP (NN Mm)) (, ,) (NP (NN mm)) (. .)))"
15607,"(8,)","and erm , James said you not going out in this surely , yeah , yeah , it 's only a bit of rain and he come home and he was drenched right the way through top to bottom","[and/CC, erm/NN, ,/,, James/NNP, said/VBD, you/PRP, not/RB, going/VBG, out/RP, in/IN, this/DT, surely/RB, ,/,, yeah/UH, ,/,, yeah/UH, ,/,, it/PRP, 's/VBZ, only/RB, a/DT, bit/NN, of/IN, rain/NN, and/CC, he/PRP, come/VB, home/NN, and/CC, he/PRP, was/VBD, drenched/VBN, right/RB, the/DT, way/NN, through/IN, top/NN, to/TO, bottom/NN]","(ROOT (S (S (CC and) (NP (NP (NN erm)) (, ,) (NP (NNP James))) (VP (VBD said) (NP (PRP you)) (S (RB not) (VP (VBG going) (PRT (RP out)) (PP (IN in) (NP (NP (DT this)) (ADVP (RB surely)))))))) (, ,) (S (INTJ (UH yeah) (, ,) (UH yeah)) (, ,) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (QP (RB only) (DT a) (NN bit))) (PP (IN of) (NP (NN rain)))))) (CC and) (S (NP (PRP he)) (VP (VB come) (NP (NN home))))) (CC and) (S (NP (PRP he)) (VP (VBD was) (VP (VBN drenched) (ADVP (RB right) (NP (DT the) (NN way)) (PP (IN through) (NP (NN top)))) (PP (TO to) (NP (NN bottom))))))))"
15607,"(9,)","Oh  , mm , mm .","[Oh/UH, ,/,, mm/NN, ,/,, mm/NN, ./.]","(ROOT (FRAG (INTJ (UH Oh)) (, ,) (NP (NP (NN mm)) (, ,) (ADJP (NN mm))) (. .)))"
15607,"(10,)","and Dave said , and there you are , that 's why you 've got a cold .","[and/CC, Dave/NNP, said/VBD, ,/,, and/CC, there/EX, you/PRP, are/VBP, ,/,, that/DT, 's/VBZ, why/WRB, you/PRP, 've/VBP, got/VBD, a/DT, cold/JJ, ./.]","(ROOT (S (S (CC and) (NP (NNP Dave)) (VP (VBD said))) (, ,) (CC and) (S (NP (EX there)) (PRN (S (NP (PRP you)) (VP (VBP are))) (, ,)) (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP you)) (VP (VBP 've) (VP (VBD got) (NP (DT a) (JJ cold)))))))) (. .)))"
