[1],"(ROOT (SBAR (WHADVP (WRB How)) (S (UCP (S (NP (PRP you)) (VP (VBG doing))) (, ,) (NP (NNP Howard)) (. ?)))))"
[2],"(ROOT (S (NP (DT This)) (VP (VBZ is) (NP (NP (DT a)) (, ,) (NP (NP (DT a) (NN subject)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADVP (RB real) (RB well)) (ADJP (JJ versed) (PRT (RP on))))))) (, ,)))))"
[0],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP we)) (VP (VBP 're) (ADJP (JJ ready) (S (VP (TO to) (VP (VB talk))))))))) (. .)))
[3],(ROOT (S (VP (ADVP (CC but))) (. .)))
[4],"(ROOT (S (INTJ (UH Well)) (, ,) (VP (VB let) (S (NP (PRP 's)) (VP (NN talk) (PP (IN about) (NP (NN air) (NN pollution)))))) (. .)))"
[6],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (VP (VBP causes) (NP (NP (NN air) (NN pollution)) (PP (IN in) (NP (NNP Dallas))))))))) (. ?)))
[5],(ROOT (INTJ (UH Okay) (. .)))
[7],(ROOT (FRAG (CC Or) (SBAR (WHADVP (WRB where)) (S (VP (VBP are) (NP (PRP you)) (ADVP (RB from))))) (. ?)))
[8],(ROOT (INTJ (UH No) (. .)))
[10],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[11],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (PP (IN from) (NP (DT the))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[12],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN from) (NP (NNP Dallas)))) (. .)))
[9],(ROOT (S (ADVP (RB Maybe)) (NP (PRP you)) (VP (VBP 're) (RB not) (PP (IN in) (NP (NNP Dallas)))) (. .)))
[13],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NNP Richardson)))) (. .)))
[14],"(ROOT (INTJ (UH Okay) (. .) (UH Uh) (, ,)))"
[16],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT some) (JJ small) (NN experience)) (PP (IN in) (NP (DT this) (NN area))))) (. .)))"
[15],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (ADVP (RB as) (RB far)) (PP (IN as) (NP (NP (NN air) (NN pollution)) (PP (IN in) (NP (DT the) (NNP Dallas) (NN area))))))) (. ?)))
"[17, 19]","(ROOT (S (NP (NP (DT The) (JJ brown) (NN haze)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (VBP see) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP look) (PRT (IN down)) (NP (NP (NNP Central)) (PP (IN towards) (NP (NN downtown))) (SBAR (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT that)))) (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))))) (VP (VBN tied) (PRT (RP up)) (PP (IN with) (NP (NP (DT the) (NNS oxides)) (CC or) (NP (NN nitrogen)))) (SBAR (IN although) (S (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (ADJP (ADVP (RB kind) (RB of)) (JJ bluish)) (JJ gray) (NN stuff)) (SBAR (S (NP (PRP we)) (VP (VBP see) (ADVP (RB sometimes)))))))) (VP (VBZ is) (VP (VBN tied) (PRT (RP up)) (PP (IN with) (NP (NNS particulates)))))))) (. .)))"
[20],"(ROOT (S (CC But) (, ,) (S (INTJ (UH uh)) (, ,) (NP (DT the)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJ major) (NNS problems))) (SBAR (WHNP (WDT that)) (S (NP (NNP Dallas)) (VP (VBZ has))))) (VP (VBZ is) (NP (NNS oxides) (CC and) (NN nitrogen)))) (. .)))"
[18],(ROOT (INTJ (UH Right) (. .)))
"[21, 23]","(ROOT (S (S (NP (DT That)) (VP (BES 's) (PP (IN because) (IN of) (NP (NP (PDT all) (DT the) (NN equipment)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (VP (VBG being) (VP (VBN operated))))))))) (. .)) (CC But) (ADVP (IN at) (NP (DT the) (JJ same) (NN time))) (, ,) (S (INTJ (UH uh)) (, ,) (PP (IN because) (S (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB have)))) (, ,) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB burn) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN coal))))))) (CC and) (S (NP (JJ solid) (NNS materials)) (NP (PRP we))))) (, ,) (VP (VBP do) (RB n't) (VP (VB get) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NNS particulates))))))) (. .)))"
[22],X
[24],(ROOT (S (ADVP (RB Now)) (NP (NNS particulates)) (VP (MD would) (VP (VB come) (PP (IN from) (NP (NP (NN trash) (NN burning)) (CC or) (NP (NN incineration) (CC or) (NN something)))) (PP (IN like) (NP (NP (DT that)) (PP (ADVP (RB here)) (IN in) (NP (NNP Dallas))))))) (. .)))
[25],(ROOT (INTJ (UH Right) (. .)))
[26],"(ROOT (NP (NP (UH Uh)) (PRN (, ,) (NP (NN power) (NNS plants)) (PP (IN since)) (, ,))))"
[28],"(ROOT (S (NP (NP (JJ many)) (PP (IN of) (NP (NP (PRP$ our) (JJ local) (NN power)) (SBAR (WHNP (WHNP (NNS plants)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBP are) (NP (NP (JJ natural) (NN gas)) (NP (NP (RBS most)) (PP (IN of) (NP (DT the) (NN time))))) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP come) (PRT (IN off)) (PP (IN of) (NP (DT those) (NNS plants))))))))))))) (VP (VBP are) (NP (NP (NN carbon) (NN dioxide)) (, ,) (CC and) (NP (NN N) (NN O) (NN X)))) (. .)))"
[29],"(ROOT (S (NP (EX There)) (VP (BES 's) (NP (DT no) (NNS particulates)) (PP (IN in) (NP (JJ natural) (NN gas))) (, ,) (PP (IN of) (NP (NN course)))) (. .)))"
[30],(ROOT (S (CC And) (NP (PRP we)) (VP (VBP pick) (PRT (RP up)) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN of) (NP (NN sulphur)))) (PP (IN off) (NP (NP (DT some)) (PP (IN of) (NP (DT these) (NNS products)))))) (. .)))
[31],"(ROOT (S (NP (PRP We)) (VP (VBP 're) (VP (VBG burning) (NP (NP (NN fuel) (NN oil)) (CC and) (NP (DT a) (JJ few) (JJ other) (NNS things))))) (, ,)))"
[32],"(ROOT (S (CC but) (NP (NP (NN gasoline)) (, ,) (PP (IN of) (NP (NN course))) (, ,)) (ADVP (RB now)) (NP (NP (DT the) (NN lead)) (VP (BES 's) (PRT (RP out)) (, ,) (S (ADVP (IN at) (JJS least) (RB theoretically)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP you)) (VP (MD could) (VP (VB say) (SBAR (S (NP (PRP we)) (VP (VBP 're) (VP (VBG picking) (PRT (RP up)) (NP (DT some) (NN sulphur)) (SBAR (IN because) (S (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (DT the) (NNS fuels)))) (VP (VBZ does)))))))))))))))) (VP (VBP have) (NP (NN sulphur))) (. .)))"
[27],X
"[33, 35]","(ROOT (S (S (NP (DT That)) (VP (BES 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP we)) (VP (VBP get) (NP (DT that) (JJ rotten) (NN egg) (NN smell)) (PP (ADVP (RB sometime)) (IN off) (NP (NP (DT the) (JJ catalytic) (NN converter)) (NP (DT the) (NN sulphur))))))))) (, ,) (FRAG (INTJ (UH yes))) (. .)))"
[34],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really) (. ?))))"
"[36, 38]","(ROOT (S (S (CC And) (NP (DT that)) (VP (BES 's) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NN course) (NN hydrogen) (NN sulfide)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP burn) (NP (NN gasoline))))))))))) (, ,) (S (NP (PRP you)) (ADVP (RB also)) (VP (VBP produce) (NP (DT some) (NN water) (NN vapor)))) (CC and) (S (NP (DT that)) (VP (VBZ goes) (ADVP (RB back)) (ADVP (RB in)) (PP (IN with) (NP (PRP$ your) (NN sulphur)))))))"
[39],(ROOT (S (CC and) (PP (IN under) (NP (DT the) (JJ right) (NN condition))) (NP (PRP you)) (VP (VBP get) (S (NP (NNP H) (CD two) (NNP S)))) (. .)))
[37],(ROOT (INTJ (UH Sure) (. .)))
[40],"(ROOT (S (CC But) (, ,) (ADVP (RB anyway)) (VP (, ,) (INTJ (UH uh))) (, ,)))"
[41],"(ROOT (S (S (INTJ (UH Well)) (, ,) (S (NP (PRP you)) (VP (VBP are))) (, ,) (S (NP (PRP you)) (VP (VBP are) (ADVP (GW well)) (VP (^JJ versed) (PP (IN on) (NP (DT the) (NN subject))))))) (, ,) (NP (PRP I)) (VP (VBP tell) (NP (PRP you))) (. .)))"
[43],(ROOT (S (NP (DT This)) (VP (VBZ is) (RB not) (NP (NP (CD one)) (PP (IN of) (NP (PRP$ my) (JJR better) (NNS ones))))) (. .)))
